143761	50.886	-1.78673	6.0000	2.0000	7,4,6,7,4,8,6	http://www.geograph.org.uk/photo/781356
29585	51.8409	0.1747	3.3333	2.2222	2,2,2,6,4,4	http://www.geograph.org.uk/photo/154551
198343	58.8287	-2.96067	4.2857	1.9184	3,3,5,3,4,7,5	http://www.geograph.org.uk/photo/1075976
88810	52.4086	-0.77999	5.2500	3.1875	5,5,8,3	http://www.geograph.org.uk/photo/438960
157226	53.4387	-1.11414	3.1250	2.1094	4,2,4,3,1,2,3,6	http://www.geograph.org.uk/photo/862644
64205	53.2091	-3.18902	3.7143	3.0612	6,4,4,6,3,2,1	http://www.geograph.org.uk/photo/311927
83949	53.6232	-2.00454	4.8750	5.1094	4,4,2,5,2,9,6,7	http://www.geograph.org.uk/photo/414309
187065	50.88	-3.31158	3.7143	5.0612	5,8,1,3,2,5,2	http://www.geograph.org.uk/photo/1021822
46941	53.6855	-0.997504	5.1250	5.8594	6,6,6,2,4,10,5,2	http://www.geograph.org.uk/photo/224347
67310	53.5571	-0.544121	3.2857	1.9184	4,3,3,3,6,1,3	http://www.geograph.org.uk/photo/327481
1097	57.7087	-3.31755	3.1000	4.2900	5,2,4,1,1,7,4,1,1,5	http://www.geograph.org.uk/photo/9617
102770	55.3665	-5.58251	3.8000	3.7600	1,6,3,3,6	http://www.geograph.org.uk/photo/515458
75946	52.8387	-4.49302	3.5714	1.3878	4,4,1,4,5,4,3	http://www.geograph.org.uk/photo/376537
31273	52.5365	1.34123	4.3333	1.2222	3,5,5,6,3,4	http://www.geograph.org.uk/photo/160846
147483	53.866	-1.39562	2.6667	2.2222	2,2,2,2,2,6	http://www.geograph.org.uk/photo/804609
77777	54.5423	-2.04885	3.5000	5.2500	1,2,2,4,8,4	http://www.geograph.org.uk/photo/385150
113609	51.889	-4.46728	3.6667	3.5556	6,2,3,1,4,6	http://www.geograph.org.uk/photo/573143
29301	57.8931	-6.90311	8.7778	0.3951	9,9,9,8,8,8,10,9,9	http://www.geograph.org.uk/photo/153702
145524	50.6425	-2.58995	7.1429	4.1224	4,9,10,6,6,9,6	http://www.geograph.org.uk/photo/792831
169015	51.4526	-1.2789	2.3333	1.1111	2,2,4,1,2,3,2,1,4	http://www.geograph.org.uk/photo/927918
91693	51.2169	-1.73366	4.8000	3.7600	6,4,8,3,3	http://www.geograph.org.uk/photo/453585
